製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
パスタイムFX7-L温感,祐徳薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手の腫れ・手首の腫れ・足首の腫れ,"表面のライナーをはがし、1日2回を限度として患部に貼付する
<用法・用量に関連する注意>
1.定められた用法・用量を守ってください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗などをよくふき取り、患部をきれいにしてから使用してください
4.はった患部をコタツや電気毛布等で温めないでください
5.強い刺激を感じることがあるので、入浴の30分以上前にはがしてくださいまた、入浴後は30分位してから使用してください
6.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上はり、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
7.皮ふの弱い人は、同じところに続けて使用しないでください",,"ノニル酸ワニリルアミド
フェルビナク",禁止物質なし,,,,
パスタイムZXクリーム,祐徳薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","1日3〜4回適量を患部に塗擦してください。ただし,塗擦部位をラップフィルム等の通気性の悪いもので覆わないでください。なお,本成分を含む他の外用剤を併用しないでください。",,ジクロフェナクナトリウム,禁止物質なし,,,,
パスタイムZX,祐徳薬品工業,第2類,外用薬(皮膚),"関節痛,筋肉痛,腰痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫,肩こりに伴う肩の痛み","プラスチックフィルムをはがし,1日1回1〜2枚を患部に貼ってください。ただし,1回あたり2枚を超えて使用しないでください。なお,本成分を含む他の外用剤を併用しないでください。",,ジクロフェナクナトリウム,禁止物質なし,,,,
パスタイムZX-L,祐徳薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","プラスチックフィルムをはがし,1日1回1枚を患部に貼ってください。ただし,1回あたり1枚を超えて使用しないでください。なお,本成分を含む他の外用剤を併用しないでください。",,ジクロフェナクナトリウム,禁止物質なし,,,,
パスタイムFXこはる,祐徳薬品工業,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,腰痛,関節痛,筋肉痛,腱鞘炎(手・手首・足首の痛みと腫れ),肘の痛み(テニス肘など),打撲,捻挫","表面のライナーをはがし,1 日2 回を限度として患部に貼付する。",,"トコフェロール酢酸エステル
フェルビナク
l−メントール",禁止物質なし,,,,
パスタイムLX,祐徳薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付する。",,ロキソプロフェンナトリウム水和物,禁止物質なし,,,,
パスタイムLX-L,祐徳薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付する。",,ロキソプロフェンナトリウム水和物,禁止物質なし,,,,
HisamitsuロキソプロフェンNaテープ,祐徳薬品工業,第2類,外用薬(皮膚),腰痛、肩こりに伴う肩の痛み、関節痛、筋肉痛、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘など)、打撲、捻挫,表面のライナー(フィルム)をはがし、1日1回患部に貼付する。,,ロキソプロフェンナトリウム水和物,禁止物質なし,,,,
パスタイムLXプレミアム,祐徳薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付してください。",,"トコフェロール酢酸エステル
ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
パスタイムLXプレミアム大判,祐徳薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付してください。",,"トコフェロール酢酸エステル
ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
HisamitsuロキソプロフェンNaテープα,祐徳薬品工業,第2類,外用薬(皮膚),腰痛、肩こりに伴う肩の痛み、関節痛、筋肉痛、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘など)、打撲、捻挫,表面のライナー(フィルム)をはがし、1日1回、患部に貼付してください。,,"トコフェロール酢酸エステル
ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
HisamitsuロキソプロフェンNaテープα大判,祐徳薬品工業,第2類,外用薬(皮膚),腰痛、肩こりに伴う肩の痛み、関節痛、筋肉痛、腱鞘炎(手・手首の痛み)、肘の痛み(テニス肘など)、打撲、捻挫,表面のライナー(フィルム)をはがし、1日1回、患部に貼付してください。,,"トコフェロール酢酸エステル
ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
ミッテンFBローション,雪の元本店,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みと腫れ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
サリトロンFBローション,雪の元本店,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布して下さい。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
サーパスミンDIローション,雪の元本店,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","1日3〜4回適量を患部に塗布してください。ただし,塗布部位をラップフィルム等の通気性の悪いもので覆わないでください。なお,本成分を含む他の外用剤を併用しないでください。",15,"ジクロフェナクナトリウム
l−メントール",禁止物質なし,,,,
サーパスミンFBローション,雪の元本店,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手の腫れ・手首の腫れ・足首の腫れ,"1日2~4回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.15歳未満の小児に使用させないでください
2.定められた用法を守ってください
3.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には眼科医の診療を受けてください
4.外用にのみ使用してください
5.薬剤塗布後、患部をラップフィルム等の通気性の悪いもので覆わないでください",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
ミッテンFBゲル,雪の元本店,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
ロアメタシンG,雪の元本店,第2類,外用薬(皮膚),"筋肉痛,肩こりに伴う肩の痛み,腰痛,関節痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘等),打撲,捻挫","1日4回を限度として,適量を患部に塗擦する。",11,"インドメタシン
l−メントール",禁止物質なし,,,,
トリナートFBローション,雪の元本店,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
コーチレンFBゲル,雪の元本店,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
トリナートLXクールローション,雪の元本店,第2類,外用薬(皮膚),"関節痛,肩こりに伴う肩の痛み,筋肉痛,腰痛,打撲,捻挫,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など)","1日3〜4回,適量を患部に塗布してください。",,"ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
ハリックスホグリラ温感,ライオン,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のプラスチックフィルムをはがし、1日2回を限度として、患部に貼ってください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
4.汗をかいたり、患部がぬれている時は、よく拭きとってから使用してください
5.本剤を使用してから汗をかくと刺激を感じることがあります
6.貼った患部をコタツや電気毛布等で温めないでください
7.本剤を貼ったまま、あるいははがした直後に入浴しないでください(強い刺激を感じることがあるので、少なくとも入浴の1時間前にははがし、入浴後は30分程してから貼ってください)
8.打撲(打ち身)、捻挫に使用する場合には、患部の熱感等の症状がおさまってから使用してください
9.本剤に触れた手で、目の周囲、口唇、鼻孔、その他の粘膜にさわらないでください
10.患部の皮膚は清潔にして貼ってください
11.皮膚の弱い人は同じ所には続けて貼らないでください",,"アルニカチンキ
トウガラシエキス
フェルビナク",禁止物質なし,,,,
ハリックスホグリラ冷感,ライオン,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のプラスチックフィルムをはがし、1日2回を限度として、患部に貼ってください
<用法・用量に関連する注意>
1.用法・用量を厳守してください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
4.汗をかいたり、患部がぬれている時は、よく拭きとってから使用してください
5.患部の皮膚は清潔にして貼ってください",,"アルニカチンキ
フェルビナク",禁止物質なし,,,,
ハリックスホグリラ,ライオン,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,腰痛,関節痛,打撲,捻挫,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など)","1日2〜4回,適量を患部に塗布してください。",,"アルニカチンキ
フェルビナク
l−メントール",禁止物質なし,,,,
ロキソニンSテープ,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,ロキソプロフェンナトリウム水和物,禁止物質なし,,,,
ロキソニンSテープL,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,ロキソプロフェンナトリウム水和物,禁止物質なし,,,,
ロキソニンSパップ,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,ロキソプロフェンナトリウム水和物,禁止物質なし,,,,
ロキソニンEXテープ,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,"トコフェロール酢酸エステル
ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
ロキソニンEXテープL,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,"トコフェロール酢酸エステル
ロキソプロフェンナトリウム水和物
l−メントール",禁止物質なし,,,,
ロキソニンS温感テープ,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,"ノナン酸バニリルアミド
ロキソプロフェンナトリウム水和物",禁止物質なし,,,,
ロキソニンS温感テープL,リードケミカル,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","表面のライナー(フィルム)をはがし,1日1回患部に貼付して下さい。",,"ノナン酸バニリルアミド
ロキソプロフェンナトリウム水和物",禁止物質なし,,,,
近江兄弟社メンタームエプールFE液プラス,近江兄弟社,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,腰痛,関節痛,筋肉痛,打撲,捻挫,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など)","1日2〜4回,適量を患部に塗布してください。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
ラッシュピードZ,奥田製薬,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,打撲,捻挫,腱鞘炎(手・手首・足首の痛みと腫れ),肘の痛み(テニス肘など)","1日2〜4回,適量を患部に塗布してください。",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
フェルビロックエース,奥田製薬,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手の腫れ・手首の腫れ・足首の腫れ,"1日2~4回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.15歳未満の小児に使用させないでください
2.定められた用法・用量を守ってください
3.目に入らないよう注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には眼科医の診療を受けてください
4.外用にのみ使用してください
5.薬剤塗布後の患部をラップフィルム等の通気性の悪いもので覆わないでください",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
奥田家下呂膏ID液,奥田又右衛門膏本舗,第2類,外用薬(皮膚),"腰痛,関節痛,打撲,捻挫,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),肩こりに伴う肩の痛み",1日4回を限度として患部に適量塗布する。,11,"インドメタシン
l−メントール",禁止物質なし,,,,
クミアイコリメタシン1%液,協同薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日4回を限度として適量を患部に塗布してください
11歳未満の小児には使用させないでください
<用法・用量に関連する注意>
1.11歳以上の小児に使用させる場合には、保護者の指導監督のもとに使用させてください
2.目に入らないように注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には、眼科医の診療を受けてください
3.外用にのみ使用してください
4.1週間あたり50mLを超えて使用しないでください
5.塗布部位をラップフィルム等の通気性の悪いもので覆わないでください",11,"インドメタシン
l−メントール",禁止物質なし,,,,
ハリワンFb50EG,共立薬品工業,第2類,外用薬(皮膚),関節痛、筋肉痛、腰痛、腱鞘炎(手・手首・足首の痛みと腫れ)、肘の痛み(テニス肘など)、打撲、捻挫、肩こりに伴う肩の痛み,表面のライナーをはがし、1日2回を限度として患部に貼付してください。,,"グリチルレチン酸
トコフェロール酢酸エステル
フェルビナク
l−メントール",禁止物質なし,,,,
ハリワンFb35,共立薬品工業,第2類,外用薬(皮膚),関節痛、筋肉痛、腰痛、腱鞘炎(手・手首・足首の痛みとはれ)、肘の痛み(テニス肘など)、打撲、捻挫、肩こりに伴う肩の痛み,用法・用量  表面のライナーをはがし、1日2回を限度として患部に貼付してください。,,フェルビナク,禁止物質なし,,,,
ハリワンFb50,共立薬品工業,第2類,外用薬(皮膚),関節痛、筋肉痛、腰痛、腱鞘炎(手・手首・足首の痛みと腫れ)、肘の痛み(テニス肘など)、打撲、捻挫、肩こりに伴う肩の痛み,表面のライナーをはがし、1日2回を限度として患部に貼付してください。,,フェルビナク,禁止物質なし,,,,
ハリワンFb温感,共立薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手の腫れ・手首の腫れ・足首の腫れ,"表面のライナーをはがし、1日2回を限度として患部に貼付してください
<用法及び用量に関連する注意>
1.定められた用法・用量を守ってください
2.本剤は、痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤ですので、症状がある場合だけ使用してください
3.貼った患部をコタツや電気毛布等で温めないでください
4.皮膚の弱い人は、使用前に腕の内側の皮膚の弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、痛み等の症状が起きないことを確かめてから使用してください
5.汗をかいたり皮膚がぬれている時は、よくふき取ってから使用してください
6.強い刺激を感じることがありますので、入浴時の30分以上前にはがしてくださいまた、入浴後は30分位してから使用してください
7.本剤に触れた手で、眼、鼻腔、口唇等の粘膜に触れないよう注意してください",,"ノニル酸ワニリルアミド
フェルビナク",禁止物質なし,,,,
ハリワンFb35温感,共立薬品工業,第2類,外用薬(皮膚),関節痛、筋肉痛、腰痛、腱鞘炎(手・手首・足首の痛みとはれ)、肘の痛み(テニス肘など)、打撲、捻挫、肩こりに伴う肩の痛み,用法・用量  表面のライナーをはがし、1日2回を限度として患部に貼付してください。,,"ノニル酸ワニリルアミド
フェルビナク",禁止物質なし,,,,
ピロキシカム液「キョウワ」,協和新薬,第2類,外用薬(皮膚),"筋肉痛,肩こりに伴う肩の痛み,腰痛,関節痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫",1日3〜4回適量を患部に塗布します。,,ピロキシカム,禁止物質なし,,,,
バイパークロンFBクール液,協和薬品工業,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,腰痛,関節痛,筋肉痛,打撲,捻挫,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など)","1日2〜4回,適量を患部に塗擦して下さい。",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
タイアンテロンFBクール液,協和薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手の腫れ・手首の腫れ・足首の腫れ,"1日2~4回、適量を患部に塗布してください
<用法・用量に関連する注意>
1.15歳未満の小児に使用させないでください
2.定められた用法を守ってください
3.目に入らないようご注意ください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には眼科医の診療を受けてください
4.外用にのみ使用してください
5.薬剤塗布後、患部をラップフィルム等の通気性の悪いもので覆わないでください",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
バイパークロンFBクールゲル,協和薬品工業,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,腰痛,関節痛,筋肉痛,打撲,捻挫,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など)","1日2〜4回,適量を患部に塗擦して下さい。",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
タイアンテロンFBクールゲル,協和薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手の腫れ・手首の腫れ・足首の腫れ,"1日2~4回、適量を患部に塗擦してください
<用法・用量に関連する注意>
1.15歳未満の小児に使用させないでください
2.定められた用法を守ってください
3.目に入らないようご注意ください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には眼科医の診療を受けてください
4.外用にのみ使用してください
5.薬剤塗擦後、患部をラップフィルム等の通気性の悪いもので覆わないでください",15,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
スナップキンDFクールゲル,協和薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","1日3〜4回適量を患部に塗布してください。ただし,塗布部位をラップフィルム等の通気性の悪いもので覆わないでください。なお,本成分を含む他の外用剤を併用しないでください。",,"ジクロフェナクナトリウム
l−メントール",禁止物質なし,,,,
スナップキンDFクールローション,協和薬品工業,第2類,外用薬(皮膚),"腰痛,肩こりに伴う肩の痛み,関節痛,筋肉痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫","1日3〜4回適量を患部に塗布してください。ただし,塗布部位をラップフィルム等の通気性の悪いもので覆わないでください。なお,本成分を含む他の外用剤を併用しないでください。",,"ジクロフェナクナトリウム
l−メントール",禁止物質なし,,,,
タイアンテロンDFクールゲル,協和薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日3~4回適量を患部に塗擦してください
但し、塗擦部位をラップフィルム等の通気性の悪いもので覆わないでください
なお、本成分を含む他の外用剤を併用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量を厳守してください
2.本剤は、痛みやはれなどの原因となっている病気を治療するのではなく、痛みやはれなどの症状のみを治療する薬剤ですので、症状がある場合だけ使用してください
3.本剤は外用にのみ使用し、内服しないでください
4.1週間あたり50gを超えて使用しないでください
5.目に入らないよう注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には、眼科医の診療を受けてください
6.使用部位に他の外用剤を併用しないでください
7.通気性の悪いもの(ラップフィルム、矯正ベルト等)で使用部位を覆い、密封状態にしないでください
8.使用後は手を洗ってください",,"ジクロフェナクナトリウム
l−メントール",禁止物質なし,,,,
タイアンテロンDFクールローション,協和薬品工業,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日3~4回適量を患部に塗布してください
但し、塗布部位をラップフィルム等の通気性の悪いもので覆わないでください
なお、本成分を含む他の外用剤を併用しないでください
<用法・用量に関連する注意>
1.定められた用法・用量を厳守してください
2.本剤は、痛みやはれなどの原因となっている病気を治療するのではなく、痛みやはれなどの症状のみを治療する薬剤ですので、症状がある場合だけ使用してください
3.本剤は外用にのみ使用し、内服しないでください
4.1週間あたり50mLを超えて使用しないでください
5.目に入らないよう注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には、眼科医の診療を受けてください
6.使用部位に他の外用剤を併用しないでください
7.通気性の悪いもの(ラップフィルム、矯正ベルト等)で使用部位を覆い、密封状態にしないでください
8.使用後は手を洗ってください",,"ジクロフェナクナトリウム
l−メントール",禁止物質なし,,,,
バイパークロンFBゴールド液,協和薬品工業,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,腰痛,関節痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",15,"クロルフェニラミンマレイン酸塩
ノナン酸バニリルアミド
フェルビナク
l−メントール",禁止物質なし,,,,
タイアンテロンFBプレミアム液,協和薬品工業,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
タイアンテロンFBプレミアムゲル,協和薬品工業,第2類,外用薬(皮膚),"肩こりに伴う肩の痛み,筋肉痛,関節痛,腰痛,腱鞘炎(手・手首・足首の痛みとはれ),肘の痛み(テニス肘など),打撲,捻挫","1日2〜4回,適量を患部に塗布してください。",,"クロルフェニラミンマレイン酸塩
フェルビナク
l−メントール",禁止物質なし,,,,
インペタン1%液,三友薬品,第2類,外用薬(皮膚),"腰痛,関節痛,筋肉痛,肩こりに伴う肩の痛み,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫",1日4回を限度として適量を患部に塗布してください。,11,"インドメタシン
l−メントール",禁止物質なし,,,,
バンダール1.0%ゲル,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日4回を限度として適量を患部に塗擦してください
<用法・用量に関連する注意>
1.11歳以上の小児に使用させる場合には保護者の指導監督のもとに使用させてください
2.11歳未満の小児には使用させないでください
3.目に入らないよう注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には、眼科医の診療を受けてください
4.外用にのみ使用してください
5.1週間当たり50gを超えて使用しないでください
6.薬剤塗擦後の患部をラップフィルムなどの通気性の悪いもので覆わないでください
7.定められた用法・用量をお守りください",11,"インドメタシン
l−メントール",禁止物質なし,,,,
ボランテ液1%,東光薬品工業,第2類,外用薬(皮膚),"筋肉痛,肩こりに伴う肩の痛み,腰痛,関節痛,腱鞘炎(手・手首の痛み),肘の痛み(テニス肘など),打撲,捻挫",1日4回を限度として適量を患部に塗布してください,11,"インドメタシン
l−メントール",禁止物質なし,,,,
ボランテFBテープ35温感,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮ふの弱い人は、同じところに続けて貼らないでください",,"フェルビナク
l−メントール",禁止物質なし,,,,
ボランテFBテープL70温感,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み・足首の痛みと手のはれ・手首のはれ・足首のはれ,"表面のフィルムをはがし、1日2回を限度として患部に貼付してください
<用法・用量に関連する注意>
1.定められた用法・用量をお守りください
2.本剤は痛みやはれ等の原因になっている病気を治療するのではなく、痛みやはれ等の症状のみを治療する薬剤なので、症状がある場合だけ使用してください
3.汗をかいたり、患部がぬれている時は、よくふきとってから使用してください
4.皮ふの弱い人は、使用前に腕の内側の皮ふの弱い箇所に、1~2cm角の小片を目安として半日以上貼り、発疹・発赤、かゆみ、かぶれ等の症状が起きないことを確かめてから使用してください
5.皮ふの弱い人は、同じところに続けて貼らないでください",,"フェルビナク
l−メントール",禁止物質なし,,,,
インペタンチックPX,三友薬品,第2類,外用薬(皮膚),手の痛み・手首の痛み,"1日3~4回適量を患部に塗擦してください(キャップをとり、容器底部を回し、薬剤を3~4mm出して使用してください)
15歳未満の小児は使用しないでください
<用法・用量に関連する注意>
1.目に入らないよう注意してください万一、目に入った場合には、すぐに水又はぬるま湯で洗ってくださいなお、症状が重い場合には、眼科医の診療を受けてください
2.外用にのみ使用してください
3.本剤塗擦後の患部をラップフィルム等の通気性の悪いもので覆わないでください
4.1週間当たり50gを超えて使用しないでください
5.定められた用法を守ってください",15,"ピロキシカム
l−メントール",禁止物質なし,,,,
