product_name,manufacturer,medicine_type,recommendation_count,slug,matsukiyo_jan,matsukiyo_name,source_image_url,r2_url,status,note
メンソレータムメディクイッククリームＳ,ロート製薬,外用薬（皮膚）,63,メンソレータムメディクイッククリームS,4987241125326,メンソレータム メディクイック クリームS ８ｇ ロート製薬 【指定第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987241125326_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/メンソレータムメディクイッククリームS.webp,uploaded,query=メンソレータムメディクイッククリームＳ ロート
メンソレータムメディクイックプロクリーム,ロート製薬,外用薬（皮膚）,63,メンソレータムメディクイックプロクリーム,4987241196654,メンソレータムメディクイックプロクリームａ ８ｇ ロート製薬 【指定第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987241196654_01_da59aa4423b3568e8cc7ba8e453cf579.jpg,https://images.yutok.dev/otc/メンソレータムメディクイックプロクリーム.webp,uploaded,query=メンソレータムメディクイックプロクリーム ロート
デイトナＳ,オール薬品工業,睡眠障害,42,デイトナS,,,,,not_found,matsukiyo search: no match
ノイロンムーンＳ,オール薬品工業,睡眠障害,42,ノイロンムーンS,,,,,not_found,matsukiyo search: no match
フストールＳ,オール薬品工業,睡眠障害,42,フストールS,,,,,not_found,matsukiyo search: no match
ハイカゼ内服液Ｓ,廣貫堂,風邪薬,39,ハイカゼ内服液S,,,,,not_found,matsukiyo search: no match
スロナースのどスプレー,池田薬品工業,外用薬（のど）,29,スロナースのどスプレー,,,,,not_found,matsukiyo search: no match
セイヨン総合かぜ薬,中外医薬生産,風邪薬,28,セイヨン総合かぜ薬,,,,,not_found,matsukiyo search: no match
新スカイブブロンゴールド錠,米田薬品工業,風邪薬,20,新スカイブブロンゴールド錠,,,,,not_found,matsukiyo search: no match
カイゲンＡＺのどスプレー,池田薬品工業,外用薬（のど）,18,カイゲンAZのどスプレー,,,,,not_found,matsukiyo search: no match
スカイブブロンストレート,阪本漢法製薬,風邪薬,18,スカイブブロンストレート,,,,,not_found,matsukiyo search: no match
新ストナエースＧ,佐藤製薬,風邪薬,17,新ストナエースG,,,,,not_found,matsukiyo search: no match
救風,常盤薬品工業,風邪薬,17,救風,,,,,not_found,matsukiyo search: no match
カゼンエース,富山めぐみ製薬,風邪薬,16,カゼンエース,,,,,not_found,matsukiyo search: no match
新スカイブブロンゴールド微粒,米田薬品工業,風邪薬,15,新スカイブブロンゴールド微粒,,,,,not_found,matsukiyo search: no match
ナロンｍ,大正製薬,解熱鎮痛薬,13,ナロンm,4987306040519,ナロンｍ ２４錠 大正製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987306040519_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ナロンm.webp,uploaded,query=ナロンｍ 大正
ガストール細粒,エスエス製薬,胃腸薬,13,ガストール細粒,4987300037003,ガストール細粒 １０包 エスエス製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987300037003_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ガストール細粒.webp,uploaded,query=ガストール細粒 エスエス
ガストール錠,エスエス製薬,胃腸薬,13,ガストール錠,4987300037515,ガストール錠 ６０錠 エスエス製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987300037515_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ガストール錠.webp,uploaded,query=ガストール錠 エスエス
健栄のどフレッシュ,健栄製薬,外用薬（のど）,9,健栄のどフレッシュ,,,,,not_found,matsukiyo search: no match
コーフパウダー,平坂製薬,風邪薬,9,コーフパウダー,,,,,not_found,matsukiyo search: no match
ストナリニＳ,佐藤製薬,鼻炎用薬,9,ストナリニS,4987316012384,ストナリニS ２４錠 佐藤製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987316012384_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ストナリニS.webp,uploaded,query=ストナリニＳ 佐藤
第一三共胃腸薬コアブロック散剤,東亜薬品,胃腸薬,9,第一三共胃腸薬コアブロック散剤,,,,,not_found,matsukiyo search: no match
新エスタックイブエースカプセル,エスエス製薬,風邪薬,9,新エスタックイブエースカプセル,,,,,not_found,matsukiyo search: no match
ジキニンのどクリア,全薬工業,風邪薬,9,ジキニンのどクリア,4987305510815,ジキニン のどクリア ３０ＭＬ×３ 全薬工業 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987305510815_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/ジキニンのどクリア.webp,uploaded,query=ジキニンのどクリア 全薬
スカイブブロンＮＡスプレー,雪の元本店,鼻炎用薬,9,スカイブブロンNAスプレー,,,,,not_found,matsukiyo search: no match
カーフェソフト錠,アルフレッサ　ファーマ,睡眠障害,8,カーフェソフト錠,4987028132394,カーフェソフト錠 １６錠 エーザイ 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987028132394_01_c93e5a780100ec738cc426572f3beaf3.jpg,https://images.yutok.dev/otc/カーフェソフト錠.webp,uploaded,query=カーフェソフト錠 アルフレッサ　フ
グットエイドＥＸ,大昭製薬,解熱鎮痛薬,7,グットエイドEX,,,,,not_found,matsukiyo search: no match
ジキニン鼻炎ＡＧ顆粒,全薬工業,鼻炎用薬,7,ジキニン鼻炎AG顆粒,,,,,not_found,matsukiyo search: no match
ポピショット,ダイヤ製薬,外用薬（のど）,7,ポピショット,4935583204087,matsukiyo ポピショットα ３０ｍｌ 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4935583204087_01_c9582bde61d6c97516b1f2554885f931.jpg,https://images.yutok.dev/otc/ポピショット.webp,uploaded,query=ポピショット
エスタロンモカ１２,エスエス製薬,睡眠障害,7,エスタロンモカ12,4987300042205,エスタロンモカ１２ ２０錠 エスエス製薬 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987300042205_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/エスタロンモカ12.webp,uploaded,query=エスタロンモカ１２ エスエス
